speaker_id;title;firstname;affix;lastname;role;group
11004807;NA;Rüdiger;NA;Lucassen;NA;AfD
11004075;NA;Pascal;NA;Kober;NA;FDP
11004022;NA;Christine;NA;Buchholz;NA;DIE LINKE
11004843;NA;Ulrich;NA;Oehme;NA;AfD
11004093;NA;Stefan;NA;Liebich;NA;DIE LINKE
11003881;NA;Omid;NA;Nouripour;NA;BÜNDNIS 90/DIE GRÜNEN
11002765;Dr.;Norbert;NA;Röttgen;NA;CDU/CSU
11003599;Dr.;Rolf;NA;Mützenich;NA;SPD
11004383;NA;Alexander;NA;Radwan;NA;CDU/CSU
11004735;NA;Armin-Paulus;NA;Hampel;NA;AfD
11004068;NA;Roderich;NA;Kiesewetter;NA;CDU/CSU
11004296;NA;Gabriela;NA;Heinrich;NA;SPD
11004182;Dr.;Johann David;NA;Wadephul;NA;CDU/CSU
11004291;NA;Sebastian;NA;Hartmann;NA;SPD
11003589;NA;Stephan;NA;Mayer;NA;CDU/CSU
11004698;Dr.;Gottfried;NA;Curio;NA;AfD
11004175;NA;Stephan;NA;Thomae;NA;FDP
11004837;NA;Zaklin;NA;Nastic;NA;DIE LINKE
11004857;NA;Filiz;NA;Polat;NA;BÜNDNIS 90/DIE GRÜNEN
11004056;NA;Ansgar;NA;Heveling;NA;CDU/CSU
11004079;NA;Daniela;NA;Kolbe;NA;SPD
11004731;NA;Kay;NA;Gottschalk;NA;AfD
11004049;Dr.;Stephan;NA;Harbarth;NA;CDU/CSU
11003782;NA;Josip;NA;Juratovic;NA;SPD
11001023;NA;Ulla;NA;Jelpke;NA;DIE LINKE
11004243;NA;Luise;NA;Amtsberg;NA;BÜNDNIS 90/DIE GRÜNEN
11004811;NA;Jens;NA;Maier;NA;AfD
11004688;NA;Birke;NA;Bull-Bischoff;NA;DIE LINKE
11004065;Dr.;Stefan;NA;Kaufmann;NA;CDU/CSU
11003211;Dr.;Ernst Dieter;NA;Rossmann;NA;SPD
11004722;Dr.;Götz;NA;Frömming;NA;AfD
11004910;NA;Katja;NA;Suding;NA;FDP
11003756;NA;Kai;NA;Gehring;NA;BÜNDNIS 90/DIE GRÜNEN
11004143;NA;Tankred;NA;Schipanski;NA;CDU/CSU
11004267;NA;Saskia;NA;Esken;NA;SPD
11004063;NA;Oliver;NA;Kaczmarek;NA;SPD
11004256;Dr.;Karl-Heinz;NA;Brunner;NA;SPD
11004255;Dr.;Franziska;NA;Brantner;NA;BÜNDNIS 90/DIE GRÜNEN
11004036;NA;Ingo;NA;Gädechens;NA;CDU/CSU
11004359;NA;Michelle;NA;Müntefering;NA;SPD
11004714;NA;Peter;NA;Felser;NA;AfD
11004680;NA;Jürgen;NA;Braun;NA;AfD
11004439;Dr. h. c.;Albert;NA;Weiler;NA;CDU/CSU
11004813;Dr.;Birgit;NA;Malsack-Winkemann;NA;AfD
11004759;NA;Matthias;NA;Höhn;NA;DIE LINKE
11004900;NA;René;NA;Springer;NA;AfD
11004720;Dr.;Anton;NA;Friesen;NA;AfD
11004826;NA;Siemtje;NA;Möller;NA;SPD
11004777;NA;Jens;NA;Kestner;NA;AfD
11004067;NA;Katja;NA;Keul;NA;BÜNDNIS 90/DIE GRÜNEN
11004378;NA;Achim;NA;Post;NA;SPD
11004152;NA;Detlef;NA;Seif;NA;CDU/CSU
11004921;NA;Markus;NA;Töns;NA;SPD
11004740;NA;Martin;NA;Hebner;NA;AfD
11004272;Dr.;Fritz;NA;Felgentreu;NA;SPD
11004787;NA;Enrico;NA;Komning;NA;AfD
11004763;NA;Reinhard;NA;Houben;NA;FDP
11004103;NA;Thomas;NA;Lutze;NA;DIE LINKE
11004830;NA;Claudia;NA;Müller;NA;BÜNDNIS 90/DIE GRÜNEN
11004696;NA;Joana Eleonora;NA;Cotar;NA;AfD
11003865;NA;Elisabeth;NA;Winkelmeier-Becker;NA;CDU/CSU
11004270;Dr.;Johannes;NA;Fechner;NA;SPD
11004668;NA;Nicola;NA;Beer;NA;FDP
11004707;NA;Thomas;NA;Ehrhorn;NA;AfD
11004721;NA;Markus;NA;Frohnmaier;NA;AfD
11004703;NA;Anke;NA;Domscheit-Berg;NA;DIE LINKE
11004138;NA;Tabea;NA;Rößner;NA;BÜNDNIS 90/DIE GRÜNEN
11004061;NA;Thomas;NA;Jarzombek;NA;CDU/CSU
11004603;Dr.;Jens;NA;Zimmermann;NA;SPD
11004304;NA;Alexander;NA;Hoffmann;NA;CDU/CSU
11004057;NA;Manuel;NA;Höferlin;NA;FDP
11004678;NA;Stephan;NA;Brandner;NA;AfD
11004851;Dr.;Frauke;NA;Petry;NA;fraktionslos
11004114;NA;Niema;NA;Movassat;NA;DIE LINKE
11004123;Dr.;Konstantin;NA;von Notz;NA;BÜNDNIS 90/DIE GRÜNEN
11004427;Dr.;Volker;NA;Ullrich;NA;CDU/CSU
11003034;Dr.;Dietmar;NA;Bartsch;NA;DIE LINKE
11004098;Dr.;Carsten;NA;Linnemann;NA;CDU/CSU
11004392;NA;Bernd;NA;Rützel;NA;SPD
11004791;NA;Steffen;NA;Kotré;NA;AfD
11004914;NA;Michael;NA;Theurer;NA;FDP
11004263;NA;Katharina;NA;Dröge;NA;BÜNDNIS 90/DIE GRÜNEN
11004039;NA;Michael;NA;Gerdes;NA;SPD
11003255;NA;Peter;NA;Weiß;NA;CDU/CSU
11004215;NA;Harald;NA;Ebner;NA;BÜNDNIS 90/DIE GRÜNEN
11004269;NA;Hermann;NA;Färber;NA;CDU/CSU
11003576;NA;Renate;NA;Künast;NA;BÜNDNIS 90/DIE GRÜNEN
11004858;NA;Stephan;NA;Protschka;NA;AfD
11003132;NA;Katrin;NA;Göring-Eckardt;NA;BÜNDNIS 90/DIE GRÜNEN
11004894;NA;Frank;NA;Sitta;NA;FDP
11003853;Dr.;Kirsten;NA;Tackmann;NA;DIE LINKE
11003596;NA;Marlene;NA;Mortler;NA;CDU/CSU
11004287;NA;Rita;NA;Hagl-Kehl;NA;SPD
11004105;Dr.;Thomas;de;Maizière;Bundesminister BMI;NA
11004441;NA;Marian;NA;Wendt;NA;CDU/CSU
11004342;NA;Andrea;NA;Lindholz;NA;CDU/CSU
11004748;NA;Lars;NA;Herrmann;NA;AfD
11004907;NA;Friedrich;NA;Straetmanns;NA;DIE LINKE
11004801;NA;Sven;NA;Lehmann;NA;BÜNDNIS 90/DIE GRÜNEN
11004034;NA;Michael;NA;Frieser;NA;CDU/CSU
11004905;NA;Beatrix;NA;von Storch;NA;AfD
11004396;Dr.;Nina;NA;Scheer;NA;SPD
11004329;NA;Arno;NA;Klare;NA;SPD
11004433;NA;Dirk;NA;Vöpel;NA;SPD
11004010;NA;Peter;NA;Beyer;NA;CDU/CSU
11004846;NA;Gerold;NA;Otten;NA;AfD
11001434;NA;Christoph;NA;Matschie;NA;SPD
11004778;NA;Stefan;NA;Keuter;NA;AfD
11004164;NA;Sonja Amalie;NA;Steffen;NA;SPD
11004796;NA;Konstantin Elias;NA;Kuhle;NA;FDP
11004088;NA;Caren;NA;Lay;NA;DIE LINKE
11004259;Dr.;Karamba;NA;Diaby;NA;SPD
11004391;NA;Susann;NA;Rüthrich;NA;SPD
11004305;Dr.;Hendrik;NA;Hoppenstedt;NA;CDU/CSU
11004863;NA;Roman Johannes;NA;Reusch;NA;AfD
11004288;Dr.;André;NA;Hahn;NA;DIE LINKE
11004100;Dr.;Jan-Marco;NA;Luczak;NA;CDU/CSU
11004248;Dr.;Matthias;NA;Bartke;NA;SPD
11004149;NA;Armin;NA;Schuster;NA;CDU/CSU
11004257;Dr.;Lars;NA;Castellucci;NA;SPD
11004908;NA;Benjamin;NA;Strasser;NA;FDP
11004282;NA;Uli;NA;Grötsch;NA;SPD
11003856;Dr.;Florian;NA;Toncar;NA;FDP
11004021;NA;Ralph;NA;Brinkhaus;NA;CDU/CSU
11003157;NA;Johannes;NA;Kahrs;NA;SPD
11003858;NA;Alexander;NA;Ulrich;NA;DIE LINKE
11003837;Dr.;Gerhard;NA;Schick;NA;BÜNDNIS 90/DIE GRÜNEN
11004280;NA;Ursula;NA;Groden-Kranich;NA;CDU/CSU
11003784;NA;Alois;NA;Karl;NA;CDU/CSU
11004865;NA;Bernd;NA;Riexinger;NA;DIE LINKE
11004192;Dr.;Matthias;NA;Zimmer;NA;CDU/CSU
11004856;NA;Jürgen;NA;Pohl;NA;AfD
11004179;NA;Johannes;NA;Vogel;NA;FDP
11004117;NA;Beate;NA;Müller-Gemmeke;NA;BÜNDNIS 90/DIE GRÜNEN
11004365;NA;Wilfried;NA;Oellers;NA;CDU/CSU
11003440;NA;Kerstin;NA;Griese;NA;SPD
11004127;NA;Lisa;NA;Paus;NA;BÜNDNIS 90/DIE GRÜNEN
11004110;Dr.;Mathias;NA;Middelberg;NA;CDU/CSU
11003050;NA;Lothar;NA;Binding;NA;SPD
11004761;NA;Leif-Erik;NA;Holm;NA;AfD
11004271;NA;Uwe;NA;Feiler;NA;CDU/CSU
11004247;Dr.;Katarina;NA;Barley;Bundesministerin  BMFSFJ;NA
11004370;NA;Sylvia;NA;Pantel;NA;CDU/CSU
11004764;NA;Johannes;NA;Huber;NA;AfD
11004188;NA;Katrin;NA;Werner;NA;DIE LINKE
11004652;NA;Grigorios;NA;Aggelidis;NA;FDP
11004030;NA;Katja;NA;Dörner;NA;BÜNDNIS 90/DIE GRÜNEN
11004859;NA;Martin;NA;Reichardt;NA;AfD
11004771;NA;Elisabeth;NA;Kaiser;NA;SPD
11004660;NA;Simone;NA;Barrientos;NA;DIE LINKE
11004116;NA;Nadine;NA;Schön;NA;CDU/CSU
11004753;NA;Nicole;NA;Höchst;NA;AfD
11004150;NA;Stefan;NA;Schwartze;NA;SPD
11004613;NA;Norbert;NA;Müller;NA;DIE LINKE
11004773;Dr.;Kirsten;NA;Kappert-Gonther;NA;BÜNDNIS 90/DIE GRÜNEN
11004754;Dr.;Gero Clemens;NA;Hocker;NA;FDP
11003527;Dr.;Maria;NA;Flachsbarth;Parl. Staatssekretärin BMEL;NA
11003638;NA;Jens;NA;Spahn;Parl. Staatssekretär BMF;NA
11003514;NA;Gitta;NA;Connemann;NA;CDU/CSU
11004404;NA;Ursula;NA;Schulte;NA;SPD
11004728;NA;Franziska;NA;Gminder;NA;AfD
11004823;NA;Amira Mohamed;NA;Ali;NA;DIE LINKE
11003772;Dr.;Anton;NA;Hofreiter;NA;BÜNDNIS 90/DIE GRÜNEN
11004033;Dr.;Edgar;NA;Franke;NA;SPD
11004384;NA;Alois;NA;Rainer;NA;CDU/CSU
11004393;NA;Johann;NA;Saathoff;NA;SPD
11004140;Dr.;Stefan;NA;Ruppert;NA;FDP
11003516;NA;Alexander;NA;Dobrindt;NA;CDU/CSU
11004802;NA;Helge;NA;Lindh;NA;SPD
11003573;NA;Gunther;NA;Krichbaum;NA;CDU/CSU
11004881;NA;Johannes;NA;Schraps;NA;SPD
11004302;Dr.;Heribert;NA;Hirte;NA;CDU/CSU
11004614;NA;Angelika;NA;Glöckner;NA;SPD
11004349;NA;Matern;NA;von Marschall;NA;CDU/CSU
11004789;NA;Carina;NA;Konrad;NA;FDP
11004107;NA;Hans-Georg;NA;von der Marwitz;NA;CDU/CSU
11004410;NA;Rainer;NA;Spiering;NA;SPD
11004888;NA;Uwe;NA;Schulz;NA;AfD
11004250;NA;Maik;NA;Beermann;NA;CDU/CSU
11003639;NA;Christian Freiherr von;Freiherr;Stetten;NA;CDU/CSU
11004328;NA;Cansel;NA;Kiziltepe;NA;SPD
11004727;NA;Albrecht;NA;Glaser;NA;AfD
11004363;NA;Ulli;NA;Nissen;NA;SPD
11004866;Dr.;Manuela;NA;Rottmann;NA;BÜNDNIS 90/DIE GRÜNEN
11004659;NA;Lisa;NA;Badum;NA;BÜNDNIS 90/DIE GRÜNEN
11003734;NA;Thomas;NA;Bareiß;NA;CDU/CSU
11004429;Dr.;Julia;NA;Verlinden;NA;BÜNDNIS 90/DIE GRÜNEN
11003847;NA;Rita;NA;Schwarzelühr-Sutter;Parl. Staatssekretärin BMUB;NA
11004792;Dr.;Rainer;NA;Kraft;NA;AfD
11004929;NA;Sandra;NA;Weeser;NA;FDP
11004844;NA;Josephine;NA;Ortleb;NA;SPD
11004111;NA;Cornelia;NA;Möhring;NA;DIE LINKE
11004395;NA;Ulle;NA;Schauws;NA;BÜNDNIS 90/DIE GRÜNEN
11003216;NA;Anita;NA;Schäfer;NA;CDU/CSU
11004336;Dr.;Silke;NA;Launert;NA;CDU/CSU
11004385;NA;Martina;NA;Renner;NA;DIE LINKE
11004353;NA;Irene;NA;Mihalic;NA;BÜNDNIS 90/DIE GRÜNEN
11004710;Dr.;Wiebke;NA;Esdar;NA;SPD
11004690;NA;Karlheinz;NA;Busen;NA;FDP
11004040;NA;Alois;NA;Gerig;NA;CDU/CSU
11004355;NA;Susanne;NA;Mittag;NA;SPD
11003604;NA;Friedrich;NA;Ostendorff;NA;BÜNDNIS 90/DIE GRÜNEN
11003832;NA;Johannes;NA;Röring;NA;CDU/CSU
11004892;NA;Martin;NA;Sichert;NA;AfD
11004099;NA;Burkhard;NA;Lischka;NA;SPD
11004448;NA;Gülistan;NA;Yüksel;NA;SPD
11004890;NA;Matthias;NA;Seestern-Pauly;NA;FDP
11003861;NA;Marcus;NA;Weinberg;NA;CDU/CSU
11003869;NA;Sabine;NA;Zimmermann;NA;DIE LINKE
11003578;NA;Markus;NA;Kurth;NA;BÜNDNIS 90/DIE GRÜNEN
11004389;Dr.;Martin;NA;Rosemann;NA;SPD
11004169;NA;Stephan;NA;Stracke;NA;CDU/CSU
11004303;NA;Thomas;NA;Hitschler;NA;SPD
11000365;Dr.;Diether;NA;Dehm;NA;DIE LINKE
11002716;Dr. Dr. h. c.;Karl A.;NA;Lamers;NA;CDU/CSU
11004405;NA;Kordula;NA;Schulz-Asche;NA;BÜNDNIS 90/DIE GRÜNEN
11004244;NA;Heike;NA;Baehrens;NA;SPD
11004875;Dr.;Robby;NA;Schlund;NA;AfD
11004931;NA;Nicole;NA;Westig;NA;FDP
11004454;NA;Pia;NA;Zimmermann;NA;DIE LINKE
11004825;NA;Claudia;NA;Moll;NA;SPD
999999986755;NA;François;NA;de Rugy;Präsident der  Assemblée nationale;NA
11004097;NA;Christian;NA;Lindner;NA;FDP
11004183;Dr.;Sahra;NA;Wagenknecht;NA;DIE LINKE
11002746;NA;Cem;NA;Özdemir;NA;BÜNDNIS 90/DIE GRÜNEN
11003870;NA;Brigitte;NA;Zypries;Bundesministerin BMWi;NA
11004732;NA;Timon;NA;Gremmels;NA;SPD
11004824;NA;Falko;NA;Mohrs;NA;SPD
11004819;NA;Pascal;NA;Meiser;NA;DIE LINKE
11002733;Dr.;Michael;NA;Meister;Parl. Staatssekretär BMF;NA
11003547;NA;Anja;NA;Hajduk;NA;BÜNDNIS 90/DIE GRÜNEN
11004333;NA;Christian;NA;Kühn;NA;BÜNDNIS 90/DIE GRÜNEN
11003628;Dr.;Ole;NA;Schröder;Parl. Staatssekretär BMI;NA
11004757;Dr.;Christoph;NA;Hoffmann;NA;FDP
11003033;NA;Norbert;NA;Barthle;NA;CDU/CSU
11004850;NA;Tobias Matthias;NA;Peterka;NA;AfD
11004902;NA;Bettina;NA;Stark-Watzinger;NA;FDP
11003646;NA;Antje;NA;Tillmann;NA;CDU/CSU
11003422;NA;Ingrid;NA;Arndt-Brauer;NA;SPD
11004289;NA;Metin;NA;Hakverdi;NA;SPD
11004832;NA;Sepp;NA;Müller;NA;CDU/CSU
11004912;Dr.;Hermann-Josef;NA;Tebroke;NA;CDU/CSU
11001235;NA;Wolfgang;NA;Kubicki;NA;FDP
11004936;Dr.;Christian;NA;Wirth;NA;AfD
11003848;Dr.;Petra;NA;Sitte;NA;DIE LINKE
11004245;NA;Annalena;NA;Baerbock;NA;BÜNDNIS 90/DIE GRÜNEN
11004368;NA;Mahmut;NA;Özdemir;NA;SPD
11004913;NA;Linda;NA;Teuteberg;NA;FDP
11003714;NA;Monika;NA;Lazar;NA;BÜNDNIS 90/DIE GRÜNEN
11004372;NA;Martin;NA;Patzelt;NA;CDU/CSU
11004874;Dr.;Wieland;NA;Schinnenburg;NA;FDP
11004401;NA;Dagmar;NA;Schmidt;NA;SPD
11004937;NA;Uwe;NA;Witt;NA;AfD
11004697;NA;Carl-Julius;NA;Cronenberg;NA;FDP
11004822;NA;Mario;NA;Mieruch;NA;fraktionslos
11003556;NA;Gabriele;NA;Hiller-Ohm;NA;SPD
11004795;NA;Michael;NA;Kuffer;NA;CDU/CSU
11003786;NA;Katja;NA;Kipping;NA;DIE LINKE
11002655;NA;Dagmar;NA;Freitag;NA;SPD
11004692;NA;Petr;NA;Bystron;NA;AfD
11004709;NA;Thomas;NA;Erndl;NA;CDU/CSU
11004163;Dr.;Frank;NA;Steffel;NA;CDU/CSU
11004853;NA;Stephan;NA;Pilsinger;NA;CDU/CSU
11004055;NA;Rudolf;NA;Henke;NA;CDU/CSU
11004876;Dr.;Nils;NA;Schmid;NA;SPD
11004694;Dr.;Anna;NA;Christmann;NA;BÜNDNIS 90/DIE GRÜNEN
11004073;NA;Axel;NA;Knoerig;NA;CDU/CSU
11004312;NA;Dieter;NA;Janecek;NA;BÜNDNIS 90/DIE GRÜNEN
11004772;NA;Uwe;NA;Kamann;NA;AfD
11004790;NA;Elvan;NA;Korkmaz;NA;SPD
11004012;NA;Matthias W.;NA;Birkwald;NA;DIE LINKE
11004261;NA;Sabine;NA;Dittmar;NA;SPD
11004873;NA;Ulrike;NA;Schielke-Ziesing;NA;AfD
11004321;NA;Ralf;NA;Kapschack;NA;SPD
11004334;Dr.;Roy;NA;Kühne;NA;CDU/CSU
11004006;NA;Bärbel;NA;Bas;NA;SPD
11004258;NA;Bernhard;NA;Daldrup;NA;SPD
11003450;NA;Ulrich;NA;Kelber;NA;SPD
11004101;NA;Kirsten;NA;Lühmann;NA;SPD
11004354;NA;Klaus;NA;Mindrup;NA;SPD
11004124;NA;Aydan;NA;Özoğuz;NA;SPD
11004387;NA;Andreas;NA;Rimkus;NA;SPD
11004397;NA;Udo;NA;Schiefner;NA;SPD
11003630;NA;Swen;NA;Schulz;NA;SPD
11004435;NA;Kees;NA;de Vries;NA;CDU/CSU
11004674;NA;Andreas;NA;Bleck;NA;AfD
11004816;Dr.;Jürgen;NA;Martens;NA;FDP
11004406;Dr.;Klaus-Peter;NA;Schulze;NA;CDU/CSU
11002720;NA;Steffi;NA;Lemke;NA;BÜNDNIS 90/DIE GRÜNEN
11004283;NA;Oliver;NA;Grundmann;NA;CDU/CSU
11004681;NA;Silvia;NA;Breher;NA;CDU/CSU
11004880;NA;Jörg;NA;Schneider;NA;AfD
11002812;NA;Max;NA;Straubinger;NA;CDU/CSU
11004071;NA;Volkmar;NA;Klein;NA;CDU/CSU
11004768;Dr.;Marc;NA;Jongen;NA;AfD
11004717;NA;Brigitte;NA;Freihold;NA;DIE LINKE
11004414;Dr.;Wolfgang;NA;Stefinger;NA;CDU/CSU
11002003;NA;Christian;NA;Schmidt;Bundesminister BMVI;NA
11004898;NA;Detlev;NA;Spangenberg;NA;AfD
11004159;NA;Judith;NA;Skudelny;NA;FDP
11004134;NA;Ingrid;NA;Remmers;NA;DIE LINKE
11004011;NA;Steffen;NA;Bilger;NA;CDU/CSU
11004262;NA;Michael;NA;Donth;NA;CDU/CSU
11004366;NA;Florian;NA;Oßner;NA;CDU/CSU
11004445;NA;Oliver;NA;Wittke;NA;CDU/CSU
11004730;NA;Wilhelm;NA;von Gottberg;NA;AfD
11004661;NA;Nicole;NA;Bauer;NA;FDP
11003706;NA;Artur;NA;Auernhammer;NA;CDU/CSU
11004650;Dr.;Michael;NA;von Abercron;NA;CDU/CSU
11003636;NA;Thomas;NA;Silberhorn;Parl. Staatssekretär  BMZ;NA
11004784;NA;Daniela;NA;Kluckert;NA;FDP
11004749;NA;Martin;NA;Hess;NA;AfD
11004667;NA;Olaf in der;NA;Beek;NA;FDP
11002630;Dr.;Maria;NA;Böhmer;Staatsministerin AA;NA
11004665;NA;Canan;NA;Bayram;NA;BÜNDNIS 90/DIE GRÜNEN
11004683;NA;Leni;NA;Breymaier;NA;SPD
11004656;NA;Philipp;NA;Amthor;NA;CDU/CSU
11001478;Dr.;Angela;NA;Merkel;Bundeskanzlerin;NA
11004738;Dr.;Roland;NA;Hartwig;NA;AfD
11004701;NA;Esther;NA;Dilcher;NA;SPD
11004742;NA;Katrin;NA;Helling-Plahr;NA;FDP
11004744;NA;Marc;NA;Henrichmann;NA;CDU/CSU
11004046;NA;Astrid;NA;Grotelüschen;NA;CDU/CSU
11004775;NA;Thomas L.;NA;Kemmerich;NA;FDP
11004664;Dr.;Danyal;NA;Bayaz;NA;BÜNDNIS 90/DIE GRÜNEN
11004899;Dr.;Dirk;NA;Spaniel;NA;AfD
11003789;NA;Jens;NA;Koeppen;NA;CDU/CSU
11004119;NA;Ingrid;NA;Nestle;NA;BÜNDNIS 90/DIE GRÜNEN
11004715;NA;Susanne;NA;Ferschl;NA;DIE LINKE
11004836;NA;Sebastian;NA;Münzenmaier;NA;AfD
11004666;NA;Jens;NA;Beeck;NA;FDP
11004673;NA;Marc;NA;Biadacz;NA;CDU/CSU
999190001;NA;Carsten;NA;Träger;NA;SPD
11004102;NA;Oliver;NA;Luksic;NA;FDP
11004933;NA;Wolfgang;NA;Wiehle;NA;AfD
11004089;NA;Sabine;NA;Leidig;NA;DIE LINKE
